Model,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.999048391076023,0.7204301075268817,0.7052631578947368,0.7127659574468085
Random Forest,0.9995065731505305,0.971830985915493,0.7263157894736842,0.8313253012048193
XGBoost,0.9991012582384662,0.75,0.6947368421052632,0.7213114754098361
